rainfall_mm,fertilizer_kg_ha,soil_quality,avg_temp_c,yield_tons_ha
760.9,218.2,6.47,19.6,10.42
492.0,194.8,3.42,25.3,8.012
850.1,114.0,4.08,19.4,7.456
888.1,74.9,4.4,26.8,7.645
309.8,1.8,1.26,19.3,3.011
439.6,122.8,0.92,21.7,4.668
725.6,271.0,6.67,21.5,11.327
636.8,171.7,6.56,29.3,8.868
696.6,122.0,6.63,25.3,9.633
529.4,173.3,0.2,23.2,5.097
875.9,72.0,3.27,26.0,7.904
855.6,135.1,1.98,15.6,4.037
713.2,155.0,7.78,23.8,10.289
925.4,145.7,8.61,32.0,9.453
793.5,189.5,2.47,24.5,8.796
528.1,167.2,6.68,24.3,8.992
773.8,183.4,1.29,26.2,8.271
508.2,115.6,2.75,27.6,6.105
875.7,194.9,1.39,16.0,5.061
690.0,231.4,2.84,17.3,7.464
663.0,101.5,6.75,24.8,9.267
563.8,105.6,9.1,21.1,9.879
944.5,216.8,2.03,29.2,7.538
669.1,140.4,5.42,22.7,9.247
614.3,220.2,7.01,16.3,8.213
629.6,127.9,9.53,18.9,9.875
806.5,222.8,6.1,13.0,4.784
773.1,156.6,2.55,23.1,7.993
782.5,162.9,6.25,23.2,10.263
786.2,228.2,3.2,22.3,8.68
1128.3,131.9,9.76,28.3,11.682
618.7,102.9,4.0,28.8,6.551
597.6,127.6,6.85,23.3,8.092
537.2,172.6,0.23,15.5,2.335
823.2,71.7,4.0,26.5,7.225
925.8,181.9,8.75,26.2,13.089
677.2,123.1,6.1,25.2,8.893
532.0,207.4,4.44,27.9,8.461
535.1,30.3,9.36,19.3,7.926
830.1,110.7,8.54,32.0,7.933
848.7,65.7,3.22,20.2,6.945
808.6,108.7,5.45,27.0,8.452
566.9,162.4,4.9,17.3,6.863
746.4,141.0,6.32,20.3,8.705
723.3,137.3,3.34,30.1,6.266
743.7,142.0,2.44,23.0,7.978
874.3,160.2,9.13,27.4,12.141
744.7,99.6,9.24,24.9,11.929
835.8,185.3,8.43,23.6,11.793
713.5,183.1,9.78,29.5,10.293
757.8,169.3,7.45,23.1,10.498
826.3,177.8,7.65,16.9,9.354
408.6,164.8,7.63,20.8,9.415
636.1,251.8,4.81,26.2,10.012
605.9,145.6,4.56,25.6,7.66
572.2,134.6,2.4,17.7,5.169
645.0,112.3,6.45,21.1,8.102
999.0,98.4,2.89,21.7,8.516
526.8,87.8,2.58,22.5,7.293
893.7,105.6,5.86,18.5,8.343
363.4,146.5,4.1,21.5,7.086
633.0,166.7,2.19,21.1,6.675
732.6,152.6,8.16,27.1,9.734
817.2,111.7,8.61,27.2,10.283
842.2,195.0,1.68,23.4,7.737
858.7,187.0,0.08,22.4,6.438
630.3,142.0,3.36,24.6,8.514
607.5,117.4,7.98,20.7,9.578
871.6,177.4,8.39,19.4,11.32
661.7,159.4,1.38,20.2,6.006
444.9,77.6,7.74,21.5,8.181
473.3,146.6,1.16,19.3,5.186
516.1,163.1,3.9,24.6,7.814
799.4,105.0,9.99,26.9,11.604
728.5,159.5,1.93,17.7,5.349
838.1,77.3,1.54,24.1,6.263
614.5,216.8,4.23,23.1,8.505
731.7,212.4,6.2,25.4,9.749
825.1,137.4,9.33,23.9,11.828
638.1,168.2,9.81,18.2,10.298
791.4,29.5,0.7,19.0,3.108
567.6,92.2,1.38,24.1,5.463
627.4,135.3,7.91,28.1,9.464
623.7,96.4,2.71,15.1,1.564
460.8,185.7,8.85,25.4,10.385
797.4,249.9,6.63,28.8,10.99
606.1,91.2,1.12,23.4,5.638
702.5,108.1,8.33,26.2,9.608
796.1,161.8,1.76,21.2,7.353
789.3,230.6,4.23,23.5,10.656
833.1,88.9,5.52,17.5,7.265
680.3,162.5,5.01,14.6,4.718
615.3,241.1,6.86,27.8,10.249
684.1,67.4,6.53,20.1,7.573
362.5,85.9,9.92,22.2,9.759
410.6,128.8,9.99,18.5,9.131
435.5,124.0,5.16,18.4,6.424
500.6,190.6,0.95,23.3,6.475
780.0,162.1,7.28,21.1,10.902
518.9,61.3,9.77,25.5,9.787
624.4,175.8,3.18,25.8,8.272
959.8,121.1,4.61,25.3,9.777
628.7,213.7,4.25,25.0,8.822
847.5,118.6,0.51,30.3,3.582
513.3,118.2,6.72,19.7,8.719
658.9,177.1,3.53,23.8,8.537
510.0,188.1,7.87,28.5,8.703
632.2,172.4,8.32,29.1,9.471
868.1,65.7,8.21,18.3,9.154
354.5,176.9,4.17,22.8,7.354
786.9,98.3,3.22,29.4,5.819
747.5,161.8,7.49,26.0,11.403
581.2,78.8,8.01,24.8,8.761
410.8,172.3,4.91,23.1,7.738
714.4,109.7,8.93,22.5,10.849
594.1,85.9,1.44,25.2,5.657
746.5,185.7,8.79,23.0,12.243
704.4,162.1,0.96,23.8,7.279
1020.4,119.3,1.54,24.3,7.886
652.1,222.6,5.34,21.3,10.027
495.3,128.0,0.68,26.1,4.95
735.9,151.6,0.53,35.7,0.1
744.0,163.4,0.01,16.9,3.958
971.8,119.0,4.36,25.3,9.314
867.0,173.6,7.75,21.0,11.643
771.4,123.3,0.35,26.3,6.155
992.7,129.4,6.52,24.2,10.846
462.2,218.1,8.23,27.0,10.191
572.0,98.0,1.68,28.7,4.694
514.7,29.4,1.47,24.8,4.337
622.0,230.5,8.61,28.5,11.183
424.7,277.5,8.23,14.6,8.506
827.0,129.7,5.39,30.4,7.202
655.6,53.2,8.19,25.5,9.433
405.8,134.5,0.93,28.3,4.802
496.9,135.7,3.94,19.1,6.248
762.7,140.5,7.38,20.7,11.202
867.6,94.3,2.57,24.6,7.224
1099.3,179.0,7.52,23.9,12.758
1282.8,176.2,5.04,25.1,11.336
782.9,75.3,7.5,28.3,8.646
502.1,185.0,4.65,16.9,6.203
273.6,252.6,3.68,27.9,7.756
753.5,158.6,2.19,24.0,7.868
537.4,133.1,2.08,23.2,6.993
616.9,142.9,7.51,18.1,8.341
577.6,180.8,1.19,26.0,6.367
671.8,63.5,0.86,14.3,1.845
913.2,158.2,1.76,26.6,7.945
731.4,130.5,1.75,18.0,4.794
668.3,242.4,8.23,24.2,11.898
492.9,141.3,3.99,23.5,6.999
365.1,233.4,9.9,28.7,11.278
602.7,94.8,1.37,23.3,5.449
689.2,179.4,6.54,21.2,10.047
1053.6,166.0,4.49,22.0,10.159
726.1,106.5,3.93,29.1,6.93
896.5,158.9,8.75,26.1,11.566
600.1,210.6,9.76,22.5,11.757
463.0,133.8,8.73,23.1,10.164
507.0,65.4,1.92,17.7,3.498
555.0,149.1,2.21,25.6,6.827
1125.7,104.9,6.56,17.0,8.13
535.7,132.9,2.89,27.0,6.757
867.7,145.9,7.35,24.5,10.683
519.4,64.7,5.66,33.5,2.628
886.3,69.2,5.51,19.6,7.449
777.0,174.1,8.29,23.6,12.333
668.7,123.9,7.11,31.2,7.525
691.8,21.8,0.27,28.8,3.42
569.0,189.2,0.49,21.2,6.647
789.2,163.6,6.02,24.9,11.587
609.0,114.3,4.86,24.0,7.213
454.9,84.2,2.6,25.1,5.21
444.4,191.8,4.19,21.2,7.468
734.5,167.5,7.58,23.6,10.566
1015.8,269.1,8.27,17.6,11.478
732.0,171.0,5.61,24.5,9.696
676.3,169.4,3.85,25.8,7.788
757.2,141.7,2.71,23.1,7.904
961.2,190.8,5.22,17.5,8.778
743.9,181.3,3.15,28.0,8.042
617.8,212.6,5.64,25.5,10.192
921.3,123.9,6.77,21.1,10.484
785.8,128.2,0.66,22.9,6.213
1007.2,126.0,0.01,18.0,6.185
736.6,189.5,2.12,19.9,7.339
455.1,224.9,8.95,21.8,10.399
426.4,127.1,6.46,28.9,6.781
1030.2,128.8,1.72,21.4,6.887
1044.7,165.7,8.9,26.6,12.687
664.1,137.7,4.7,21.8,8.249
623.4,197.6,4.76,25.0,9.031
992.3,37.4,9.36,23.4,12.133
478.6,108.7,0.59,27.5,4.566
521.1,110.9,2.15,21.9,6.173
828.7,34.0,5.86,17.7,5.895
621.1,101.8,1.95,18.5,4.157
699.0,104.2,6.8,21.9,9.229
667.3,139.9,2.14,19.0,5.891
767.5,205.6,0.99,25.6,6.687
981.5,137.7,2.07,22.1,7.97
718.1,98.5,4.23,33.5,3.382
828.8,147.2,1.76,17.0,5.056
290.0,202.5,1.35,24.8,5.565
690.3,101.2,8.6,19.5,9.153
531.4,104.5,3.2,22.0,6.332
456.2,177.9,3.61,24.6,7.688
