date,sales
2024-01-01,234.5
2024-01-02,205.73
2024-01-03,208.69
2024-01-04,191.1
2024-01-05,146.89
2024-01-06,176.78
2024-01-07,224.97
2024-01-08,232.24
2024-01-09,228.12
2024-01-10,191.67
2024-01-11,197.21
2024-01-12,194.84
2024-01-13,204.31
2024-01-14,246.95
2024-01-15,250.96
2024-01-16,222.44
2024-01-17,216.93
2024-01-18,176.54
2024-01-19,203.23
2024-01-20,209.43
2024-01-21,234.09
2024-01-22,240.53
2024-01-23,260.43
2024-01-24,215.81
2024-01-25,191.2
2024-01-26,191.43
2024-01-27,224.78
2024-01-28,248.93
2024-01-29,263.48
2024-01-30,255.05
2024-01-31,256.71
2024-02-01,197.93
2024-02-02,195.39
2024-02-03,210.9
2024-02-04,258.94
2024-02-05,280.43
2024-02-06,253.03
2024-02-07,218.08
2024-02-08,197.7
2024-02-09,218.81
2024-02-10,240.17
2024-02-11,263.71
2024-02-12,259.31
2024-02-13,263.95
2024-02-14,238.09
2024-02-15,218.94
2024-02-16,227.65
2024-02-17,237.84
2024-02-18,271.13
2024-02-19,275.62
2024-02-20,270.05
2024-02-21,250.98
2024-02-22,198.9
2024-02-23,214.8
2024-02-24,232.37
2024-02-25,256.22
2024-02-26,275.25
2024-02-27,292.83
2024-02-28,233.13
2024-02-29,239.81
2024-03-01,198.79
2024-03-02,238.75
2024-03-03,272.52
2024-03-04,292.35
2024-03-05,285.17
2024-03-06,262.03
2024-03-07,223.96
2024-03-08,220.92
2024-03-09,260.37
2024-03-10,270.84
2024-03-11,267.97
2024-03-12,260.95
2024-03-13,239.68
2024-03-14,239.91
2024-03-15,233.15
2024-03-16,260.92
2024-03-17,270.27
2024-03-18,292.35
2024-03-19,290.1
2024-03-20,251.5
2024-03-21,241.87
2024-03-22,223.55
2024-03-23,247.49
2024-03-24,273.21
2024-03-25,274.19
2024-03-26,290.08
2024-03-27,251.06
2024-03-28,237.06
2024-03-29,242.45
2024-03-30,261.28
2024-03-31,290.47
2024-04-01,292.1
2024-04-02,277.76
2024-04-03,258.14
2024-04-04,212.7
2024-04-05,214.56
2024-04-06,235.67
2024-04-07,266.35
2024-04-08,300.29
2024-04-09,271.15
2024-04-10,254.18
2024-04-11,257.91
2024-04-12,231.23
2024-04-13,266.78
2024-04-14,267.41
2024-04-15,291.21
2024-04-16,270.38
2024-04-17,254.56
2024-04-18,250.72
2024-04-19,210.26
2024-04-20,261.73
2024-04-21,284.37
2024-04-22,284.68
2024-04-23,262.14
2024-04-24,259.83
2024-04-25,229.17
2024-04-26,238.57
2024-04-27,254.35
2024-04-28,303.55
2024-04-29,288.62
2024-04-30,267.0
2024-05-01,259.87
2024-05-02,238.75
2024-05-03,253.71
2024-05-04,264.7
2024-05-05,282.94
2024-05-06,312.13
2024-05-07,262.41
2024-05-08,245.38
2024-05-09,219.27
2024-05-10,225.1
2024-05-11,229.06
2024-05-12,284.57
2024-05-13,284.23
2024-05-14,255.47
2024-05-15,236.96
2024-05-16,235.0
2024-05-17,240.58
2024-05-18,276.65
2024-05-19,315.66
2024-05-20,290.61
2024-05-21,259.44
2024-05-22,216.9
2024-05-23,230.93
2024-05-24,212.35
2024-05-25,236.94
2024-05-26,259.18
2024-05-27,278.62
2024-05-28,286.56
2024-05-29,247.45
2024-05-30,220.69
2024-05-31,205.11
2024-06-01,214.09
2024-06-02,257.05
2024-06-03,275.86
2024-06-04,292.96
2024-06-05,242.87
2024-06-06,233.58
2024-06-07,208.88
2024-06-08,217.11
2024-06-09,245.49
2024-06-10,261.37
2024-06-11,293.91
2024-06-12,224.1
2024-06-13,226.88
2024-06-14,198.25
2024-06-15,244.25
2024-06-16,261.1
2024-06-17,265.22
2024-06-18,256.67
2024-06-19,221.86
2024-06-20,216.23
2024-06-21,200.18
2024-06-22,207.08
2024-06-23,231.32
2024-06-24,265.3
2024-06-25,276.09
2024-06-26,229.19
2024-06-27,202.85
2024-06-28,206.37
2024-06-29,240.12
2024-06-30,248.84
2024-07-01,251.6
2024-07-02,264.04
2024-07-03,228.26
2024-07-04,222.7
2024-07-05,199.87
2024-07-06,197.2
2024-07-07,220.06
2024-07-08,277.57
