title,price_gbp,rating_stars,availability,book_url,stock_count,availability_encoded,cat_Books,price_gbp_scaled
A Light in the Attic,51.77,3,In stock (22 available),https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,22,6,True,1.181539134690998
Tipping the Velvet,53.74,1,In stock (20 available),https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,20,5,True,1.3167934504006007
Soumission,50.1,1,In stock (20 available),https://books.toscrape.com/catalogue/soumission_998/index.html,20,5,True,1.0668819228965631
Sharp Objects,47.82,4,In stock (20 available),https://books.toscrape.com/catalogue/sharp-objects_997/index.html,20,5,True,0.9103439331412868
Sapiens: A Brief History of Humankind,54.23,5,In stock (20 available),https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,20,5,True,1.3504353867953747
The Requiem Red,22.65,1,In stock (19 available),https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,19,4,True,-0.8177530853413026
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,In stock (19 available),https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,19,4,True,-0.08380961583081836
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,In stock (19 available),https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,19,4,True,-1.1418141869399447
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,In stock (19 available),https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,19,4,True,-0.8211859359938304
The Black Maria,52.15,1,In stock (19 available),https://books.toscrape.com/catalogue/the-black-maria_991/index.html,19,4,True,1.2076287996502106
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,In stock (19 available),https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,19,4,True,-1.4123228183591499
Shakespeare's Sonnets,20.66,4,In stock (19 available),https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,19,4,True,-0.9543805413119164
Set Me Free,17.46,5,In stock (19 available),https://books.toscrape.com/catalogue/set-me-free_988/index.html,19,4,True,-1.1740829830737076
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,In stock (19 available),https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,19,4,True,1.217240781477289
